# Constructed from biom file
#OTU ID	mock-355	mock-365-2	mock-367-2	mock-370-1	mock-370-2	mock-372-2	mock-372-3	mock-375	mock-376	mock-377-1	mock-377-2	mock-378-1	mock-378-2	mock-380	NTC-350	NTC-355	NTC-365	NTC-367	NTC-370-1	NTC-370-2	NTC-372-1	NTC-372-2	NTC-372-3	NTC-375-1	NTC-375-2	NTC-376-1	NTC-376-2	NTC-377-1	NTC-377-2	NTC-378-1	NTC-378-2	NTC-380
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;__	0.0	0.0	0.0	0.0	0.0	0.0	0.04175390423888794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08791208791208792	0.0	0.0	0.0010186960690316395	0.0	0.015347721822541967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014232047391995377
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.04199416509353012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014381591562799617	0.00037746344564526383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016038144776766364
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	0.014446147094583413	0.0	0.0	0.009529344477039169	0.013101939978129683	0.023060390729374408	8.580744808649391e-05	0.016862060364180594	0.019398403928790667	0.0	0.0	0.0	0.0	0.008937728937728939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__;g__;s__	0.0003381319290066835	0.0	0.0	0.03185365583660818	0.00014175205540480337	0.0006970395182682441	0.00010296893770379269	0.0	0.0	0.0	0.0	0.0	0.0	0.0014652014652014652	0.0	0.0	0.0	0.0	0.0	0.0005363954227590592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036772142753937295
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__thermopalmarium	0.00413672040806049	0.0	0.0	0.005876275345473331	0.009254384188570735	0.003891803976997696	0.0	0.011075081067597905	0.0126048700634336	0.0	0.0	0.0	0.0	0.0077655677655677656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri	0.0	0.0	0.0	8.302429844467815e-05	8.10011745170305e-05	0.0	0.0002917453234940793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15244487056567593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005376344086021506	0.0	0.0	0.0	0.0	0.0013003901170351106
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium;s__	0.0020863459449348555	0.0	0.0	0.006992490913451782	0.01158316795593536	0.0033883865471372974	0.0	0.008331254676976802	0.009330877839165133	0.0	0.0	0.0	0.0	0.00805860805860806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;__;__;__	0.0	0.0	0.0	0.016632534455083853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Phormidium;s__	0.0	0.0	0.0	0.0	0.000486007047102183	0.00015489767072627644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04710346471710108	0.0	0.0	0.0	0.0	0.0	0.0	0.007168458781362007	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__	0.0008345383779739423	0.0	0.0	0.0	0.0	0.0	0.00032606830272867687	0.0004988775255674732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11559204218600191	0.0019071837253655435	0.0	0.0	0.34782608695652173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014159803496604537
